"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
="00652","富邦印度        ","0","0","0","0","0","0","-55,000","0","0","0","47,000","102,000","-55,000","-55,000",
="00642U","元大S&P石油     ","26,000","0","26,000","0","0","0","-167,000","0","0","0","170,000","337,000","-167,000","-141,000",
="00675L","富邦臺灣加權正2 ","5,000","5,000","0","0","0","0","-145,000","0","0","0","2,677,000","2,822,000","-145,000","-145,000",
="00671R","富邦NASDAQ反1   ","115,000","0","115,000","0","0","0","-265,000","0","0","0","49,000","314,000","-265,000","-150,000",
="00677U","富邦VIX         ","0","93,000","-93,000","0","0","0","-198,000","0","0","0","766,000","964,000","-198,000","-291,000",
="0061","元大寶滬深      ","0","0","0","0","0","0","-469,000","0","220,000","-220,000","204,000","453,000","-249,000","-469,000",
="00655L","國泰中國A50正2  ","0","95,000","-95,000","0","0","0","-434,000","0","0","0","165,000","599,000","-434,000","-529,000",
="006206","元大上證50      ","0","125,000","-125,000","0","0","0","-422,000","0","70,000","-70,000","100,000","452,000","-352,000","-547,000",
="00672L","元大S&P原油正2  ","446,000","0","446,000","0","0","0","-1,035,000","0","0","0","287,000","1,322,000","-1,035,000","-589,000",
="006205","富邦上証        ","1,000","223,000","-222,000","0","0","0","-690,694","40,000","370,000","-330,000","242,000","602,694","-360,694","-912,694",
="00636","國泰中國A50     ","0","84,000","-84,000","0","0","0","-974,000","0","17,000","-17,000","234,000","1,191,000","-957,000","-1,058,000",
="00664R","國泰臺灣加權反1 ","0","465,000","-465,000","0","0","0","-615,000","90,000","0","90,000","379,000","1,084,000","-705,000","-1,080,000",
="00633L","富邦上証正2     ","1,650,000","2,048,000","-398,000","0","0","0","-855,000","303,000","556,000","-253,000","3,022,000","3,624,000","-602,000","-1,253,000",
="00676R","富邦臺灣加權反1 ","0","21,000","-21,000","0","0","0","-1,251,000","0","0","0","5,493,000","6,744,000","-1,251,000","-1,272,000",
="00637L","元大滬深300正2  ","588,000","505,000","83,000","0","0","0","-6,020,000","0","0","0","5,091,000","11,111,000","-6,020,000","-5,937,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

